Date,BR Score,Rank Gained,Likes,Likes Gained,XP,XP Gained,Notes
9/1/2025,,,,,10727515,22125,
9/2/2025,,,,,10738059,10544,Meet Maam
9/3/2025,,,,,10755059,17000,
9/4/2025,,,,,10793976,38917,Double XP
9/5/2025,,,,,10833767,39791,Double XP
9/6/2025,,,,,10871181,37414,Double XP
9/7/2025,,,,,10892145,20964,
9/8/2025,,,,,10916375,24230,
9/9/2025,,,,,10941214,24839,Meet Maam
9/10/2025,,,,,10963516,22302,
9/11/2025,,,,,10987011,23495,Sara Ended Friendship
9/12/2025,,,,,11009011,22000,Meet Maam
9/13/2025,,,,,11025879,16868,
9/14/2025,,,,,11043365,17486,
9/15/2025,,,,,11065176,21811,Presentation Day
9/16/2025,,,,,11087561,22385,
9/17/2025,,,,,11113533,25972,
9/18/2025,,,,,11133533,20000,
9/19/2025,,,,,11155533,22000,Meet Maam 2pm
9/20/2025,,,,,11179215,23682,
9/21/2025,,,,,11189170,9955,
9/22/2025,,,,,11189170,0,Trinco Trip
9/23/2025,,,,,11208471,19301,
9/24/2025,,,,,11231222,22751,
9/25/2025,5071,,107110,,11252725,21503,
9/26/2025,5071,,107157,47,11276067,23342,
9/27/2025,5071,,107256,99,11295683,19616,
9/28/2025,5071,,107374,118,11302807,7124,Weligama Trip

