Date,BR Score,Rank Gained,Likes,Likes Gained,XP,XP Gained,Notes
8/1/2025,,,,,9885547,20937,
8/2/2025,,,,,9907886,22339,
8/3/2025,,,,,9933805,25919,
8/4/2025,,,,,9957038,23233,
8/5/2025,,,,,9979591,22553,
8/6/2025,,,,,10002328,22737,
8/7/2025,,,,,10027077,24749,
8/8/2025,,,,,10066019,38942,Double XP
8/9/2025,,,,,10105708,39689,Double XP
8/10/2025,,,,,10145748,40040,Double XP
8/11/2025,,,,,10169842,24094,
8/12/2025,,,,,10193205,23363,
8/13/2025,,,,,10217030,23825,
8/14/2025,,,,,10255721,38691,Double XP
8/15/2025,,,,,10292693,36972,Double XP
8/16/2025,,,,,10326689,33996,Level 85 Reached
8/17/2025,,,,,10356080,29391,Double XP
8/18/2025,,,,,10392022,35942,Double XP
8/19/2025,,,,,10421917,29895,Double XP
8/20/2025,,,,,10459464,37547,Double XP
8/21/2025,,,,,10479866,20402,
8/22/2025,,,,,10501235,21369,
8/23/2025,,,,,10526465,25230,
8/24/2025,,,,,10550017,23552,
8/25/2025,,,,,10572143,22126,THESIS SUBMISSION
8/26/2025,,,,,10592892,20749,Meet Maam
8/27/2025,,,,,10612943,20051,
8/28/2025,,,,,10639654,26711,
8/29/2025,,,,,10657317,17663,
8/30/2025,,,,,10684009,26692,
8/31/2025,,,,,10685120,1111,
