Date,BR Score,Rank Gained,Likes,Likes Gained,XP,XP Gained,Notes
2/1/2025,,,,,7655033,1000,IMG_7983.PNG
2/2/2025,,,,,7655533,500,Sara Nasuha > Baby Sara
2/3/2025,,,,,7658939,3406,
2/4/2025,,,,,7661872,2933,10 Day Anniversary DD IMG_8040.PNG
2/5/2025,,,,,7663002,1130,
2/6/2025,,,,,7664721,1719,Baby Sara > Sayang Sara
2/7/2025,,,,,7666341,1620,
2/8/2025,,,,,7666547,206,
2/9/2025,,,,,7667232,685,"Sara Unfriend Me, Likes Issue"
2/10/2025,,,,,7669302,2070,"Sara Back to Selangor, Added Me"
2/11/2025,,,,,7674302,5000,
2/12/2025,,,,,7679092,4790,
2/13/2025,,,,,7680610,1518,
2/14/2025,,,,,7687299,6689,
2/15/2025,,,,,7694092,6793,Sara's Mother DIed
2/16/2025,,,,,7694859,767,Sara Back to Village for funeral
2/17/2025,,,,,7698157,3298,IMG_8204.PNG
2/18/2025,,,,,7702469,4312,IMG_8206.PNG
2/19/2025,,,,,7714728,12259,Sara back to Selangor
2/20/2025,,,,,7718904,4176,Watched Movie With Sara
2/21/2025,,,,,7721040,2136,"Sara's Earphone Brocken, Watched Movie With Sara"
2/22/2025,,,,,7722040,1000,
2/23/2025,,,,,7723043,1003,
2/24/2025,,,,,7732398,9355,
2/25/2025,,,,,7735398,3000,
2/26/2025,,,,,7738620,3222,
2/27/2025,,,,,7739620,1000,Watched 50 SHades of Grey with Her
2/28/2025,,,,,7742396,2776,Sara's Ex came into play
