Date,BR Score,Rank Gained,Likes,Likes Gained,XP,XP Gained,Notes
7/1/2025,,,,,9031655,16562,
7/2/2025,,,,,9058156,26501,
7/3/2025,,,,,9079176,21020,
7/4/2025,,,,,9101429,22253,
7/5/2025,,,,,9116280,14851,
7/6/2025,,,,,9133029,16749,
7/7/2025,,,,,9151378,18349,
7/8/2025,,,,,9185007,33629,Double XP
7/9/2025,,,,,9225776,40769,Double XP
7/10/2025,,,,,9266872,41096,Double XP
7/11/2025,,,,,9308405,41533,Double XP
7/12/2025,,,,,9346542,38137,Double XP
7/13/2025,,,,,9385691,39149,Double XP
7/14/2025,,,,,9424155,38464,Double XP
7/15/2025,,,,,9449100,24945,
7/16/2025,,,,,9474497,25397,
7/17/2025,,,,,9496688,22191,
7/18/2025,,,,,9520750,24062,Level 84 Reached
7/19/2025,,,,,9541597,20847,
7/20/2025,,,,,9564726,23129,
7/21/2025,,,,,9588928,24202,
7/22/2025,,,,,9609272,20344,
7/23/2025,,,,,9647705,38433,Double XP
7/24/2025,,,,,9686815,39110,Double XP
7/25/2025,,,,,9725216,38401,Double XP
7/26/2025,,,,,9749345,24129,
7/27/2025,,,,,9773950,24605,
7/28/2025,,,,,9793584,19634,
7/29/2025,,,,,9818542,24958,
7/30/2025,,,,,9840868,22326,
7/31/2025,,,,,9864610,23742,
