Date,BR Score,Rank Gained,Likes,Likes Gained,XP,XP Gained,Notes
6/1/2025,,,,,8398000,21000,
6/2/2025,,,,,8419600,21600,
6/3/2025,,,,,8435000,15400,
6/4/2025,,,,,8453300,18300,
6/5/2025,,,,,8472000,18700,
6/6/2025,,,,,8503232,31232,Double XP Card Activated
6/7/2025,,,,,8528363,25131,Double XP Card Activated
6/8/2025,,,,,8559726,31363,Double XP Card Activated
6/9/2025,,,,,8583634,23908,Double XP Card Activated
6/10/2025,,,,,8613654,30020,Double XP Card Activated
6/11/2025,,,,,8648783,35129,Double XP Card Activated
6/12/2025,,,,,8685296,36513,Double XP Card Activated
6/13/2025,,,,,8701312,16016,
6/14/2025,,,,,8721173,19861,
6/15/2025,,,,,8736751,15578,
6/16/2025,,,,,8749584,12833,Lv 83 Reached
6/17/2025,,,,,8770023,20439,
6/18/2025,,,,,8792037,22014,
6/19/2025,,,,,8810541,18504,
6/20/2025,,,,,8823403,12862,
6/21/2025,,,,,8845802,22399,
6/22/2025,,,,,8868595,22793,
6/23/2025,,,,,8886311,17716,
6/24/2025,,,,,8908278,21967,
6/25/2025,,,,,8930649,22371,
6/26/2025,,,,,8944201,13552,
6/27/2025,,,,,8965764,21563,
6/28/2025,,,,,8982757,16993,
6/29/2025,,,,,8997586,14829,
6/30/2025,,,,,9015093,17507,
