Date,BR Score,Rank Gained,Likes,Likes Gained,XP,XP Gained,Notes
3/1/2025,,,,,7743787,1391,"New BR Season Started, Sara Unfriend Me"
3/2/2025,,,,,7786539,42752,Double XP Card Activated
3/3/2025,,,,,7809314,22775,Double XP Card Activated
3/4/2025,,,,,7836391,27077,Double XP Card Activated
3/5/2025,,,,,7881015,44624,Double XP Card Activated
3/6/2025,,,,,7908641,27626,"Double XP Card Activated, Sara Added Me"
3/7/2025,,,,,7919995,11354,Double XP Card Activated
3/8/2025,,,,,7943789,23794,
3/9/2025,,,,,7947529,3740,Played War With Sara and Won
3/10/2025,,,,,7957217,9688,
3/11/2025,,,,,7959217,2000,
3/12/2025,,,,,7963925,4708,
3/13/2025,,,,,7968027,4102,
3/14/2025,,,,,7977659,9632,Sara's Stomache Pain
3/15/2025,,,,,7978971,1312,Started Distance Myself From Sara
3/16/2025,,,,,7979971,1000,
3/17/2025,,,,,7981247,1276,"Sara's Period Pain, Sara called me, Watched Fifty Shades Dark Movie"
3/18/2025,,,,,7983219,1972,Watched Fifty Shades Freed
3/19/2025,,,,,7985219,2000,"Sara did M****** with me in call, Watched a P** V****"
3/20/2025,,,,,7989170,3951,
3/21/2025,,,,,7991360,2190,"Watched after we fell with Sara, signed Marriage certificate"
3/22/2025,,,,,7994525,3165,
3/23/2025,,,,,7998292,3767,Sara Unfriends Me
3/24/2025,,,,,7998592,300,Sara read chat about Ayfha and End Our Relationship
3/25/2025,,,,,7999926,1334,Double XP
3/26/2025,,,,,8009758,9832,Double XP
3/27/2025,,,,,8010758,1000,Double XP
3/28/2025,,,,,8011758,1000,"Double XP, Sara Added Me"
3/29/2025,,,,,8012758,1000,Double XP
3/30/2025,,,,,8013758,1000,Double XP
3/31/2025,,,,,8014758,1000,Double XP
