Date,BR Score,Rank Gained,Likes,Likes Gained,XP,XP Gained,Notes
5/1/2025,,,,,8169687,5159,
5/2/2025,,,,,8174846,5159,
5/3/2025,,,,,8180005,5159,
5/4/2025,,,,,8185164,5159,
5/5/2025,,,,,8190323,5159,
5/6/2025,,,,,8195482,5159,
5/7/2025,,,,,8200641,5159,
5/8/2025,,,,,8205800,5159,Sara Unfriend Me
5/9/2025,,,,,8210959,5159,
5/10/2025,,,,,8216118,5159,
5/11/2025,,,,,8221277,5159,
5/12/2025,,,,,8226436,5159,
5/13/2025,,,,,8231595,5159,
5/14/2025,,,,,8236754,5159,
5/15/2025,,,,,8241913,5159,
5/16/2025,,,,,8247072,5159,
5/17/2025,,,,,8252231,5159,
5/18/2025,,,,,8257390,5159,
5/19/2025,,,,,8262549,5159,
5/20/2025,,,,,8267708,5159,
5/21/2025,,,,,8272867,5159,
5/22/2025,,,,,8278026,5159,
5/23/2025,,,,,8283185,5159,
5/24/2025,,,,,8288344,5159,
5/25/2025,,,,,8293503,5159,
5/26/2025,,,,,8298662,5159,
5/27/2025,,,,,8303824,5162,
5/28/2025,,,,,8322868,19044,
5/29/2025,,,,,8343662,20794,
5/30/2025,,,,,8356247,12585,
5/31/2025,,,,,8377000,20753,
