Year,Month,Days Logged,Start XP,End XP,Total XP Gained,Average Daily XP Gained
2025,January,31,7330975,7654033,333062,10743.94
2025,February,28,7655033,7742396,88363,3155.82
2025,March,31,7743787,8014758,272362,8785.87
2025,April,30,8014917,8164528,149770,4992.33
2025,May,31,8169687,8377000,212472,6853.94
2025,June,30,8398000,9015093,638093,21269.77
2025,July,31,9031655,9864610,849517,27403.77
2025,August,31,9885547,10685120,820510,26468.06
2025,September,27,10727515,11276067,1149926,42589.85
2025,ALL,270,7330975,11276067,4514075,16718.80
